ticket_id,created_date,product,feature,severity,summary,status,resolved_days
T00248,2025-02-09,ASA,Memory leak,medium,Customer reports memory leak on ASA; intermittent since last change window.,resolved,7
T00249,2025-05-29,IOS-XE,CPU spike,critical,Customer reports cpu spike on IOS-XE; intermittent since last change window.,resolved,10
T00250,2025-08-24,Webex,Config sync,low,Customer reports config sync on Webex; intermittent since last change window.,resolved,4
T00251,2025-08-12,Meraki,CPU spike,low,Customer reports cpu spike on Meraki; intermittent since last change window.,resolved,12
T00252,2025-06-23,NX-OS,Interface flapping,low,Customer reports interface flapping on NX-OS; intermittent since last change window.,resolved,2
T00253,2025-09-29,Meraki,BGP peering,high,Customer reports bgp peering on Meraki; intermittent since last change window.,resolved,14
T00254,2025-11-27,NX-OS,BGP peering,low,Customer reports bgp peering on NX-OS; intermittent since last change window.,resolved,10
T00255,2025-03-20,Webex,VPN tunnel drop,critical,Customer reports vpn tunnel drop on Webex; intermittent since last change window.,resolved,8
T00256,2025-10-16,Meraki,CPU spike,critical,Customer reports cpu spike on Meraki; intermittent since last change window.,resolved,11
T00257,2025-11-16,ASA,Packet loss,medium,Customer reports packet loss on ASA; intermittent since last change window.,resolved,2
T00258,2025-08-29,UCS,License activation,high,Customer reports license activation on UCS; intermittent since last change window.,resolved,6
T00259,2025-09-17,IOS-XE,Interface flapping,medium,Customer reports interface flapping on IOS-XE; intermittent since last change window.,open,
T00260,2025-05-27,IOS-XE,License activation,critical,Customer reports license activation on IOS-XE; intermittent since last change window.,open,
T00261,2025-11-01,Meraki,Interface flapping,medium,Customer reports interface flapping on Meraki; intermittent since last change window.,pending,
T00262,2025-01-22,UCS,Packet loss,medium,Customer reports packet loss on UCS; intermittent since last change window.,resolved,10
T00263,2025-09-01,Meraki,VPN tunnel drop,low,Customer reports vpn tunnel drop on Meraki; intermittent since last change window.,open,
T00264,2025-06-25,Webex,VPN tunnel drop,medium,Customer reports vpn tunnel drop on Webex; intermittent since last change window.,open,
T00265,2025-12-29,UCS,HA failover,medium,Customer reports ha failover on UCS; intermittent since last change window.,resolved,6
T00266,2025-07-10,ASA,Interface flapping,high,Customer reports interface flapping on ASA; intermittent since last change window.,resolved,1
T00267,2025-11-20,Webex,Interface flapping,low,Customer reports interface flapping on Webex; intermittent since last change window.,resolved,7
T00268,2025-05-26,ASA,Firmware upgrade,medium,Customer reports firmware upgrade on ASA; intermittent since last change window.,pending,
T00269,2025-03-18,ASA,VPN tunnel drop,medium,Customer reports vpn tunnel drop on ASA; intermittent since last change window.,pending,
T00270,2025-06-08,Webex,Firmware upgrade,low,Customer reports firmware upgrade on Webex; intermittent since last change window.,resolved,2
T00271,2025-06-08,Meraki,Interface flapping,high,Customer reports interface flapping on Meraki; intermittent since last change window.,resolved,11
T00272,2025-12-26,Webex,HA failover,critical,Customer reports ha failover on Webex; intermittent since last change window.,open,
T00273,2025-12-10,UCS,Memory leak,low,Customer reports memory leak on UCS; intermittent since last change window.,resolved,4
T00274,2025-06-24,UCS,BGP peering,critical,Customer reports bgp peering on UCS; intermittent since last change window.,resolved,5
T00275,2025-02-21,Meraki,Auth failure,high,Customer reports auth failure on Meraki; intermittent since last change window.,resolved,1
T00276,2025-12-05,ASA,Packet loss,medium,Customer reports packet loss on ASA; intermittent since last change window.,resolved,3
T00277,2025-03-25,NX-OS,DNS resolution,high,Customer reports dns resolution on NX-OS; intermittent since last change window.,resolved,3
T00278,2025-08-13,IOS-XE,CPU spike,medium,Customer reports cpu spike on IOS-XE; intermittent since last change window.,resolved,8
T00279,2025-11-09,ASA,Auth failure,high,Customer reports auth failure on ASA; intermittent since last change window.,resolved,4
T00280,2025-06-08,UCS,Packet loss,low,Customer reports packet loss on UCS; intermittent since last change window.,resolved,10
T00281,2025-08-14,UCS,Auth failure,high,Customer reports auth failure on UCS; intermittent since last change window.,resolved,7
T00282,2025-03-24,NX-OS,DNS resolution,low,Customer reports dns resolution on NX-OS; intermittent since last change window.,resolved,11
T00283,2025-09-04,ASA,Memory leak,low,Customer reports memory leak on ASA; intermittent since last change window.,resolved,14
T00284,2025-03-05,ASA,VPN tunnel drop,low,Customer reports vpn tunnel drop on ASA; intermittent since last change window.,resolved,9
T00285,2025-03-17,UCS,VPN tunnel drop,critical,Customer reports vpn tunnel drop on UCS; intermittent since last change window.,resolved,6
T00286,2025-01-14,UCS,VPN tunnel drop,medium,Customer reports vpn tunnel drop on UCS; intermittent since last change window.,resolved,2
T00287,2025-07-11,NX-OS,VPN tunnel drop,critical,Customer reports vpn tunnel drop on NX-OS; intermittent since last change window.,resolved,11
T00288,2025-06-21,NX-OS,VPN tunnel drop,low,Customer reports vpn tunnel drop on NX-OS; intermittent since last change window.,resolved,12
T00289,2025-03-13,Webex,CPU spike,medium,Customer reports cpu spike on Webex; intermittent since last change window.,pending,
T00290,2025-01-10,ASA,BGP peering,low,Customer reports bgp peering on ASA; intermittent since last change window.,pending,
T00291,2025-11-08,Meraki,CPU spike,high,Customer reports cpu spike on Meraki; intermittent since last change window.,resolved,2
T00292,2025-01-25,NX-OS,CPU spike,high,Customer reports cpu spike on NX-OS; intermittent since last change window.,resolved,2
T00293,2025-09-13,Meraki,Memory leak,medium,Customer reports memory leak on Meraki; intermittent since last change window.,resolved,12
T00294,2025-03-15,ASA,CPU spike,medium,Customer reports cpu spike on ASA; intermittent since last change window.,resolved,7
T00295,2025-04-06,Webex,Firmware upgrade,medium,Customer reports firmware upgrade on Webex; intermittent since last change window.,resolved,9
T00296,2025-10-06,Meraki,Auth failure,medium,Customer reports auth failure on Meraki; intermittent since last change window.,open,
T00297,2025-08-29,IOS-XE,License activation,critical,Customer reports license activation on IOS-XE; intermittent since last change window.,resolved,1
T00298,2025-07-02,IOS-XE,Interface flapping,high,Customer reports interface flapping on IOS-XE; intermittent since last change window.,resolved,13
T00299,2025-10-25,Webex,Auth failure,low,Customer reports auth failure on Webex; intermittent since last change window.,resolved,6
T00300,2025-11-26,NX-OS,DNS resolution,medium,Customer reports dns resolution on NX-OS; intermittent since last change window.,pending,
T00301,2025-09-03,Webex,BGP peering,low,Customer reports bgp peering on Webex; intermittent since last change window.,resolved,8
T00302,2025-01-19,ASA,BGP peering,high,Customer reports bgp peering on ASA; intermittent since last change window.,resolved,6
T00303,2025-06-08,Meraki,CPU spike,high,Customer reports cpu spike on Meraki; intermittent since last change window.,resolved,1
T00304,2025-11-28,NX-OS,Interface flapping,high,Customer reports interface flapping on NX-OS; intermittent since last change window.,open,
T00305,2025-12-02,ASA,BGP peering,high,Customer reports bgp peering on ASA; intermittent since last change window.,resolved,7
T00306,2025-08-14,UCS,Interface flapping,low,Customer reports interface flapping on UCS; intermittent since last change window.,resolved,6
T00307,2025-09-23,ASA,DNS resolution,high,Customer reports dns resolution on ASA; intermittent since last change window.,open,
T00308,2025-11-05,NX-OS,Memory leak,low,Customer reports memory leak on NX-OS; intermittent since last change window.,open,
T00309,2025-12-05,ASA,Interface flapping,medium,Customer reports interface flapping on ASA; intermittent since last change window.,resolved,12
T00310,2025-08-16,ASA,CPU spike,high,Customer reports cpu spike on ASA; intermittent since last change window.,pending,
T00311,2025-11-11,UCS,BGP peering,critical,Customer reports bgp peering on UCS; intermittent since last change window.,pending,
T00312,2025-02-08,Webex,License activation,low,Customer reports license activation on Webex; intermittent since last change window.,resolved,11
T00313,2025-03-23,IOS-XE,VPN tunnel drop,medium,Customer reports vpn tunnel drop on IOS-XE; intermittent since last change window.,resolved,1
T00314,2025-03-06,IOS-XE,BGP peering,medium,Customer reports bgp peering on IOS-XE; intermittent since last change window.,resolved,10
T00315,2025-01-17,Meraki,BGP peering,medium,Customer reports bgp peering on Meraki; intermittent since last change window.,resolved,8
T00316,2025-02-09,Meraki,VPN tunnel drop,low,Customer reports vpn tunnel drop on Meraki; intermittent since last change window.,resolved,5
T00317,2025-05-08,IOS-XE,VPN tunnel drop,low,Customer reports vpn tunnel drop on IOS-XE; intermittent since last change window.,resolved,9
T00318,2025-03-02,ASA,Auth failure,high,Customer reports auth failure on ASA; intermittent since last change window.,resolved,10
T00319,2025-05-27,Webex,Config sync,medium,Customer reports config sync on Webex; intermittent since last change window.,open,
T00320,2025-02-07,UCS,BGP peering,high,Customer reports bgp peering on UCS; intermittent since last change window.,pending,
T00321,2025-12-16,ASA,Firmware upgrade,high,Customer reports firmware upgrade on ASA; intermittent since last change window.,resolved,5
T00322,2025-06-03,NX-OS,Firmware upgrade,critical,Customer reports firmware upgrade on NX-OS; intermittent since last change window.,resolved,13
T00323,2025-07-05,Meraki,BGP peering,critical,Customer reports bgp peering on Meraki; intermittent since last change window.,resolved,4
T00324,2025-09-10,IOS-XE,Interface flapping,medium,Customer reports interface flapping on IOS-XE; intermittent since last change window.,resolved,9
T00325,2025-03-08,Meraki,Packet loss,low,Customer reports packet loss on Meraki; intermittent since last change window.,resolved,12
T00326,2025-09-03,Meraki,CPU spike,medium,Customer reports cpu spike on Meraki; intermittent since last change window.,resolved,3
T00327,2025-06-12,Webex,VPN tunnel drop,medium,Customer reports vpn tunnel drop on Webex; intermittent since last change window.,resolved,3
T00328,2025-10-10,Webex,License activation,high,Customer reports license activation on Webex; intermittent since last change window.,open,
T00329,2025-09-15,IOS-XE,DNS resolution,medium,Customer reports dns resolution on IOS-XE; intermittent since last change window.,resolved,3
T00330,2025-06-15,Webex,BGP peering,critical,Customer reports bgp peering on Webex; intermittent since last change window.,resolved,5
T00331,2025-02-10,ASA,BGP peering,critical,Customer reports bgp peering on ASA; intermittent since last change window.,resolved,11
T00332,2025-06-05,Meraki,Memory leak,medium,Customer reports memory leak on Meraki; intermittent since last change window.,resolved,10
T00333,2025-03-20,NX-OS,Firmware upgrade,high,Customer reports firmware upgrade on NX-OS; intermittent since last change window.,resolved,14
T00334,2025-10-16,IOS-XE,DNS resolution,low,Customer reports dns resolution on IOS-XE; intermittent since last change window.,open,
T00335,2025-11-25,Meraki,BGP peering,low,Customer reports bgp peering on Meraki; intermittent since last change window.,resolved,10
T00336,2025-11-24,IOS-XE,Memory leak,medium,Customer reports memory leak on IOS-XE; intermittent since last change window.,resolved,5
T00337,2025-09-05,NX-OS,DNS resolution,medium,Customer reports dns resolution on NX-OS; intermittent since last change window.,resolved,2
T00338,2025-12-19,IOS-XE,BGP peering,medium,Customer reports bgp peering on IOS-XE; intermittent since last change window.,resolved,6
T00339,2025-11-07,NX-OS,Interface flapping,high,Customer reports interface flapping on NX-OS; intermittent since last change window.,resolved,14
T00340,2025-06-26,UCS,VPN tunnel drop,low,Customer reports vpn tunnel drop on UCS; intermittent since last change window.,resolved,6
T00341,2025-05-04,UCS,VPN tunnel drop,medium,Customer reports vpn tunnel drop on UCS; intermittent since last change window.,open,
T00342,2025-01-26,ASA,Config sync,high,Customer reports config sync on ASA; intermittent since last change window.,resolved,14
T00343,2025-03-23,ASA,Config sync,high,Customer reports config sync on ASA; intermittent since last change window.,resolved,3
T00344,2025-09-13,Meraki,CPU spike,high,Customer reports cpu spike on Meraki; intermittent since last change window.,resolved,2
T00345,2025-07-21,Meraki,CPU spike,low,Customer reports cpu spike on Meraki; intermittent since last change window.,resolved,1
T00346,2025-01-26,ASA,Memory leak,high,Customer reports memory leak on ASA; intermittent since last change window.,resolved,8
T00347,2025-05-27,Meraki,VPN tunnel drop,low,Customer reports vpn tunnel drop on Meraki; intermittent since last change window.,open,
T00348,2025-05-16,Webex,Interface flapping,medium,Customer reports interface flapping on Webex; intermittent since last change window.,open,
T00349,2025-01-27,Meraki,Memory leak,low,Customer reports memory leak on Meraki; intermittent since last change window.,resolved,7
T00350,2025-09-16,UCS,Auth failure,low,Customer reports auth failure on UCS; intermittent since last change window.,pending,
T00351,2025-12-15,Meraki,VPN tunnel drop,critical,Customer reports vpn tunnel drop on Meraki; intermittent since last change window.,resolved,13
T00352,2025-06-23,Meraki,Config sync,high,Customer reports config sync on Meraki; intermittent since last change window.,resolved,9
T00353,2025-07-25,Meraki,VPN tunnel drop,low,Customer reports vpn tunnel drop on Meraki; intermittent since last change window.,resolved,13
T00354,2025-08-31,Meraki,CPU spike,medium,Customer reports cpu spike on Meraki; intermittent since last change window.,resolved,6
T00355,2025-11-10,ASA,BGP peering,critical,Customer reports bgp peering on ASA; intermittent since last change window.,resolved,5
T00356,2025-10-31,ASA,Memory leak,medium,Customer reports memory leak on ASA; intermittent since last change window.,resolved,10
T00357,2025-06-03,UCS,DNS resolution,low,Customer reports dns resolution on UCS; intermittent since last change window.,resolved,7
T00358,2025-10-26,ASA,Auth failure,high,Customer reports auth failure on ASA; intermittent since last change window.,resolved,1
T00359,2025-11-02,UCS,BGP peering,medium,Customer reports bgp peering on UCS; intermittent since last change window.,pending,
T00360,2025-10-24,Meraki,BGP peering,low,Customer reports bgp peering on Meraki; intermittent since last change window.,resolved,9
T00361,2025-11-19,Webex,License activation,high,Customer reports license activation on Webex; intermittent since last change window.,open,
T00362,2025-12-15,NX-OS,VPN tunnel drop,critical,Customer reports vpn tunnel drop on NX-OS; intermittent since last change window.,open,
T00363,2025-01-10,UCS,Interface flapping,low,Customer reports interface flapping on UCS; intermittent since last change window.,resolved,7
T00364,2025-09-14,Meraki,Config sync,high,Customer reports config sync on Meraki; intermittent since last change window.,resolved,1
T00365,2025-12-28,NX-OS,Memory leak,medium,Customer reports memory leak on NX-OS; intermittent since last change window.,pending,
T00366,2025-09-02,Meraki,Interface flapping,critical,Customer reports interface flapping on Meraki; intermittent since last change window.,resolved,9
T00367,2025-06-25,Meraki,Interface flapping,high,Customer reports interface flapping on Meraki; intermittent since last change window.,resolved,11
T00368,2025-12-21,ASA,License activation,low,Customer reports license activation on ASA; intermittent since last change window.,resolved,9
T00369,2025-06-02,NX-OS,Config sync,critical,Customer reports config sync on NX-OS; intermittent since last change window.,resolved,12
T00370,2025-04-17,Webex,Firmware upgrade,low,Customer reports firmware upgrade on Webex; intermittent since last change window.,resolved,13
T00371,2025-05-21,ASA,VPN tunnel drop,medium,Customer reports vpn tunnel drop on ASA; intermittent since last change window.,resolved,7
T00372,2025-06-26,NX-OS,Interface flapping,low,Customer reports interface flapping on NX-OS; intermittent since last change window.,resolved,6
T00373,2025-08-15,Webex,BGP peering,medium,Customer reports bgp peering on Webex; intermittent since last change window.,resolved,9
T00374,2025-05-19,Meraki,Firmware upgrade,low,Customer reports firmware upgrade on Meraki; intermittent since last change window.,resolved,10
T00375,2025-05-03,NX-OS,VPN tunnel drop,critical,Customer reports vpn tunnel drop on NX-OS; intermittent since last change window.,resolved,4
T00376,2025-01-27,IOS-XE,CPU spike,high,Customer reports cpu spike on IOS-XE; intermittent since last change window.,open,
T00377,2025-03-12,IOS-XE,HA failover,critical,Customer reports ha failover on IOS-XE; intermittent since last change window.,resolved,11
T00378,2025-09-01,UCS,License activation,high,Customer reports license activation on UCS; intermittent since last change window.,resolved,5
T00379,2025-11-27,IOS-XE,Packet loss,low,Customer reports packet loss on IOS-XE; intermittent since last change window.,resolved,9
T00380,2025-01-20,NX-OS,CPU spike,high,Customer reports cpu spike on NX-OS; intermittent since last change window.,pending,
T00381,2025-01-19,UCS,Auth failure,low,Customer reports auth failure on UCS; intermittent since last change window.,resolved,14
T00382,2025-05-29,IOS-XE,VPN tunnel drop,medium,Customer reports vpn tunnel drop on IOS-XE; intermittent since last change window.,open,
T00383,2025-06-21,ASA,CPU spike,medium,Customer reports cpu spike on ASA; intermittent since last change window.,resolved,3
T00384,2025-09-16,UCS,BGP peering,high,Customer reports bgp peering on UCS; intermittent since last change window.,resolved,12
T00385,2025-08-23,Webex,BGP peering,low,Customer reports bgp peering on Webex; intermittent since last change window.,resolved,13
T00386,2025-06-01,Meraki,Firmware upgrade,low,Customer reports firmware upgrade on Meraki; intermittent since last change window.,resolved,11
T00387,2025-07-27,UCS,Memory leak,low,Customer reports memory leak on UCS; intermittent since last change window.,resolved,3
T00388,2025-03-13,UCS,Interface flapping,low,Customer reports interface flapping on UCS; intermittent since last change window.,resolved,4
T00389,2025-08-17,ASA,Config sync,low,Customer reports config sync on ASA; intermittent since last change window.,resolved,1
T00390,2025-05-14,Webex,Interface flapping,low,Customer reports interface flapping on Webex; intermittent since last change window.,resolved,8
T00391,2025-06-07,NX-OS,CPU spike,medium,Customer reports cpu spike on NX-OS; intermittent since last change window.,resolved,12
T00392,2025-06-09,Webex,VPN tunnel drop,critical,Customer reports vpn tunnel drop on Webex; intermittent since last change window.,resolved,10
T00393,2025-04-24,NX-OS,Config sync,medium,Customer reports config sync on NX-OS; intermittent since last change window.,resolved,10
T00394,2025-07-11,UCS,Firmware upgrade,critical,Customer reports firmware upgrade on UCS; intermittent since last change window.,resolved,13
T00395,2025-12-07,NX-OS,Auth failure,medium,Customer reports auth failure on NX-OS; intermittent since last change window.,resolved,13
T00396,2025-02-11,Meraki,CPU spike,high,Customer reports cpu spike on Meraki; intermittent since last change window.,open,
T00397,2025-10-16,IOS-XE,VPN tunnel drop,medium,Customer reports vpn tunnel drop on IOS-XE; intermittent since last change window.,resolved,10
T00398,2025-10-02,NX-OS,BGP peering,high,Customer reports bgp peering on NX-OS; intermittent since last change window.,resolved,11
T00399,2025-04-16,Webex,License activation,low,Customer reports license activation on Webex; intermittent since last change window.,resolved,13
T00400,2025-01-29,UCS,VPN tunnel drop,medium,Customer reports vpn tunnel drop on UCS; intermittent since last change window.,resolved,9
T00401,2025-08-25,Webex,DNS resolution,high,Customer reports dns resolution on Webex; intermittent since last change window.,resolved,14
T00402,2025-01-02,Webex,BGP peering,low,Customer reports bgp peering on Webex; intermittent since last change window.,resolved,12
T00403,2025-02-02,Meraki,HA failover,critical,Customer reports ha failover on Meraki; intermittent since last change window.,open,
T00404,2025-08-30,IOS-XE,Interface flapping,low,Customer reports interface flapping on IOS-XE; intermittent since last change window.,open,
T00405,2025-11-25,Webex,License activation,medium,Customer reports license activation on Webex; intermittent since last change window.,pending,
T00406,2025-07-15,UCS,Packet loss,critical,Customer reports packet loss on UCS; intermittent since last change window.,resolved,11
T00407,2025-12-05,Meraki,VPN tunnel drop,high,Customer reports vpn tunnel drop on Meraki; intermittent since last change window.,open,
T00408,2025-10-03,UCS,Memory leak,high,Customer reports memory leak on UCS; intermittent since last change window.,resolved,1
T00409,2025-01-12,ASA,CPU spike,high,Customer reports cpu spike on ASA; intermittent since last change window.,resolved,7
T00410,2025-04-28,NX-OS,CPU spike,low,Customer reports cpu spike on NX-OS; intermittent since last change window.,resolved,12
T00411,2025-02-27,IOS-XE,DNS resolution,medium,Customer reports dns resolution on IOS-XE; intermittent since last change window.,resolved,1
T00412,2025-05-04,NX-OS,VPN tunnel drop,medium,Customer reports vpn tunnel drop on NX-OS; intermittent since last change window.,resolved,11
T00413,2025-12-27,IOS-XE,BGP peering,low,Customer reports bgp peering on IOS-XE; intermittent since last change window.,resolved,9
T00414,2025-04-22,IOS-XE,VPN tunnel drop,critical,Customer reports vpn tunnel drop on IOS-XE; intermittent since last change window.,resolved,12
T00415,2025-10-22,ASA,Memory leak,high,Customer reports memory leak on ASA; intermittent since last change window.,resolved,4
T00416,2025-06-04,NX-OS,HA failover,medium,Customer reports ha failover on NX-OS; intermittent since last change window.,resolved,5
T00417,2025-02-01,Meraki,Config sync,high,Customer reports config sync on Meraki; intermittent since last change window.,pending,
T00418,2025-11-17,Webex,CPU spike,medium,Customer reports cpu spike on Webex; intermittent since last change window.,pending,
T00419,2025-11-26,Webex,Interface flapping,medium,Customer reports interface flapping on Webex; intermittent since last change window.,resolved,7
T00420,2025-03-18,ASA,Interface flapping,high,Customer reports interface flapping on ASA; intermittent since last change window.,resolved,14
T00421,2025-04-26,ASA,DNS resolution,low,Customer reports dns resolution on ASA; intermittent since last change window.,resolved,1
T00422,2025-10-15,UCS,HA failover,medium,Customer reports ha failover on UCS; intermittent since last change window.,open,
T00423,2025-05-05,ASA,BGP peering,medium,Customer reports bgp peering on ASA; intermittent since last change window.,pending,
T00424,2025-07-09,IOS-XE,Memory leak,high,Customer reports memory leak on IOS-XE; intermittent since last change window.,open,
T00425,2025-07-13,Webex,License activation,low,Customer reports license activation on Webex; intermittent since last change window.,open,
T00426,2025-10-28,Webex,Firmware upgrade,low,Customer reports firmware upgrade on Webex; intermittent since last change window.,resolved,6
T00427,2025-06-05,IOS-XE,BGP peering,low,Customer reports bgp peering on IOS-XE; intermittent since last change window.,resolved,12
T00428,2025-09-03,NX-OS,Firmware upgrade,high,Customer reports firmware upgrade on NX-OS; intermittent since last change window.,resolved,4
T00429,2025-10-10,ASA,Auth failure,low,Customer reports auth failure on ASA; intermittent since last change window.,resolved,6
T00430,2025-06-07,ASA,Interface flapping,high,Customer reports interface flapping on ASA; intermittent since last change window.,resolved,13
T00431,2025-08-29,ASA,Config sync,low,Customer reports config sync on ASA; intermittent since last change window.,resolved,10
T00432,2025-04-24,Webex,VPN tunnel drop,low,Customer reports vpn tunnel drop on Webex; intermittent since last change window.,pending,
T00433,2025-10-24,Webex,CPU spike,low,Customer reports cpu spike on Webex; intermittent since last change window.,resolved,7
T00434,2025-10-19,NX-OS,Memory leak,medium,Customer reports memory leak on NX-OS; intermittent since last change window.,resolved,5
T00435,2025-09-08,Webex,License activation,medium,Customer reports license activation on Webex; intermittent since last change window.,resolved,13
T00436,2025-06-30,NX-OS,VPN tunnel drop,medium,Customer reports vpn tunnel drop on NX-OS; intermittent since last change window.,resolved,9
T00437,2025-11-25,IOS-XE,Memory leak,high,Customer reports memory leak on IOS-XE; intermittent since last change window.,open,
T00438,2025-12-09,IOS-XE,Auth failure,medium,Customer reports auth failure on IOS-XE; intermittent since last change window.,resolved,4
T00439,2025-02-04,Webex,VPN tunnel drop,low,Customer reports vpn tunnel drop on Webex; intermittent since last change window.,resolved,1
T00440,2025-11-13,Webex,Firmware upgrade,medium,Customer reports firmware upgrade on Webex; intermittent since last change window.,resolved,8
T00441,2025-01-09,IOS-XE,Memory leak,medium,Customer reports memory leak on IOS-XE; intermittent since last change window.,open,
T00442,2025-05-21,Meraki,HA failover,low,Customer reports ha failover on Meraki; intermittent since last change window.,resolved,11
T00443,2025-08-09,NX-OS,VPN tunnel drop,low,Customer reports vpn tunnel drop on NX-OS; intermittent since last change window.,open,
T00444,2025-04-09,Meraki,Memory leak,high,Customer reports memory leak on Meraki; intermittent since last change window.,resolved,7
T00445,2025-02-10,ASA,Config sync,medium,Customer reports config sync on ASA; intermittent since last change window.,resolved,12
T00446,2025-04-26,ASA,Firmware upgrade,high,Customer reports firmware upgrade on ASA; intermittent since last change window.,resolved,14
T00447,2025-11-29,IOS-XE,VPN tunnel drop,low,Customer reports vpn tunnel drop on IOS-XE; intermittent since last change window.,resolved,1
T00448,2025-11-23,IOS-XE,Firmware upgrade,low,Customer reports firmware upgrade on IOS-XE; intermittent since last change window.,resolved,11
T00449,2025-06-19,Meraki,HA failover,critical,Customer reports ha failover on Meraki; intermittent since last change window.,resolved,1
T00450,2025-04-28,NX-OS,Packet loss,medium,Customer reports packet loss on NX-OS; intermittent since last change window.,resolved,5
T00451,2025-01-24,IOS-XE,Firmware upgrade,low,Customer reports firmware upgrade on IOS-XE; intermittent since last change window.,resolved,11
T00452,2025-01-17,NX-OS,Config sync,low,Customer reports config sync on NX-OS; intermittent since last change window.,pending,
T00453,2025-10-28,NX-OS,Auth failure,high,Customer reports auth failure on NX-OS; intermittent since last change window.,resolved,2
T00454,2025-06-03,NX-OS,Memory leak,medium,Customer reports memory leak on NX-OS; intermittent since last change window.,resolved,11
T00455,2025-10-04,ASA,Interface flapping,high,Customer reports interface flapping on ASA; intermittent since last change window.,resolved,12
T00456,2025-02-10,Meraki,Auth failure,low,Customer reports auth failure on Meraki; intermittent since last change window.,open,
T00457,2025-04-29,IOS-XE,Interface flapping,high,Customer reports interface flapping on IOS-XE; intermittent since last change window.,pending,
T00458,2025-07-23,ASA,VPN tunnel drop,low,Customer reports vpn tunnel drop on ASA; intermittent since last change window.,pending,
T00459,2025-09-09,NX-OS,Interface flapping,critical,Customer reports interface flapping on NX-OS; intermittent since last change window.,resolved,11
T00460,2025-10-27,Webex,Interface flapping,high,Customer reports interface flapping on Webex; intermittent since last change window.,resolved,4
T00461,2025-02-07,IOS-XE,BGP peering,low,Customer reports bgp peering on IOS-XE; intermittent since last change window.,resolved,3
T00462,2025-07-19,ASA,Interface flapping,low,Customer reports interface flapping on ASA; intermittent since last change window.,pending,
T00463,2025-08-16,ASA,Auth failure,low,Customer reports auth failure on ASA; intermittent since last change window.,open,
T00464,2025-08-09,UCS,Memory leak,medium,Customer reports memory leak on UCS; intermittent since last change window.,open,
T00465,2025-02-15,ASA,Memory leak,medium,Customer reports memory leak on ASA; intermittent since last change window.,resolved,14
T00466,2025-07-17,IOS-XE,Interface flapping,low,Customer reports interface flapping on IOS-XE; intermittent since last change window.,open,
T00467,2025-10-14,NX-OS,Memory leak,low,Customer reports memory leak on NX-OS; intermittent since last change window.,resolved,3
T00468,2025-05-18,ASA,BGP peering,low,Customer reports bgp peering on ASA; intermittent since last change window.,resolved,5
T00469,2025-08-04,ASA,CPU spike,low,Customer reports cpu spike on ASA; intermittent since last change window.,resolved,4
T00470,2025-11-17,UCS,License activation,low,Customer reports license activation on UCS; intermittent since last change window.,open,
T00471,2025-06-05,IOS-XE,Config sync,low,Customer reports config sync on IOS-XE; intermittent since last change window.,resolved,13
T00472,2025-06-18,UCS,Interface flapping,high,Customer reports interface flapping on UCS; intermittent since last change window.,resolved,10
T00473,2025-03-11,ASA,Interface flapping,critical,Customer reports interface flapping on ASA; intermittent since last change window.,resolved,6
T00474,2025-04-01,UCS,HA failover,low,Customer reports ha failover on UCS; intermittent since last change window.,resolved,8
T00475,2025-10-22,NX-OS,Interface flapping,low,Customer reports interface flapping on NX-OS; intermittent since last change window.,resolved,6
T00476,2025-02-28,Meraki,BGP peering,critical,Customer reports bgp peering on Meraki; intermittent since last change window.,resolved,13
T00477,2025-10-09,IOS-XE,Config sync,medium,Customer reports config sync on IOS-XE; intermittent since last change window.,resolved,8
T00478,2025-05-30,Webex,VPN tunnel drop,high,Customer reports vpn tunnel drop on Webex; intermittent since last change window.,resolved,11
T00479,2025-09-13,NX-OS,License activation,low,Customer reports license activation on NX-OS; intermittent since last change window.,resolved,12
T00480,2025-08-05,UCS,VPN tunnel drop,critical,Customer reports vpn tunnel drop on UCS; intermittent since last change window.,resolved,7
T00481,2025-10-01,Meraki,Config sync,high,Customer reports config sync on Meraki; intermittent since last change window.,resolved,1
T00482,2025-07-04,Webex,Packet loss,medium,Customer reports packet loss on Webex; intermittent since last change window.,resolved,2
T00483,2025-02-25,NX-OS,License activation,low,Customer reports license activation on NX-OS; intermittent since last change window.,resolved,1
T00484,2025-10-16,Webex,Firmware upgrade,low,Customer reports firmware upgrade on Webex; intermittent since last change window.,resolved,13
T00485,2025-08-09,IOS-XE,VPN tunnel drop,low,Customer reports vpn tunnel drop on IOS-XE; intermittent since last change window.,resolved,9
T00486,2025-10-13,Meraki,Firmware upgrade,low,Customer reports firmware upgrade on Meraki; intermittent since last change window.,resolved,8
T00487,2025-12-14,Meraki,Firmware upgrade,low,Customer reports firmware upgrade on Meraki; intermittent since last change window.,pending,
T00488,2025-09-05,IOS-XE,Interface flapping,critical,Customer reports interface flapping on IOS-XE; intermittent since last change window.,open,
T00489,2025-03-14,ASA,Interface flapping,medium,Customer reports interface flapping on ASA; intermittent since last change window.,resolved,8
T00490,2025-06-28,UCS,VPN tunnel drop,high,Customer reports vpn tunnel drop on UCS; intermittent since last change window.,resolved,2
T00491,2025-06-03,IOS-XE,DNS resolution,low,Customer reports dns resolution on IOS-XE; intermittent since last change window.,resolved,11
T00492,2025-02-25,Webex,DNS resolution,critical,Customer reports dns resolution on Webex; intermittent since last change window.,resolved,9
